emp_no,first_name,last_name,title,from_date,to_date
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10020,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01
10022,Shahaf,Famili,Engineer,1999-09-03,9999-01-01
10047,Zvonko,Nyanchama,Engineer,1989-03-31,1998-03-31
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10097,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01
10101,Perla,Heyers,Staff,1998-10-14,2000-09-23
10106,Eben,Aingworth,Engineer,1991-10-27,1997-10-26
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10127,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01
10131,Magdalena,Eldridge,Engineer,1999-09-17,1999-12-06
10163,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01
10219,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10237,Yannis,Mandell,Senior Staff,1997-08-11,2000-02-21
10240,Remko,Maccarone,Engineer,1998-10-06,9999-01-01
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10413,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01
10418,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10443,Shichao,Litvinov,Senior Engineer,1989-08-01,2002-07-06
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12
10477,Guoxiang,Trogemann,Engineer,1997-05-26,2002-05-26
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07
10503,Dannz,Pell,Engineer,1997-03-13,9999-01-01
10529,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10593,Falguni,Kenevan,Engineer,1990-09-12,1999-09-12
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01
10696,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10712,Uma,Koprowski,Engineer,1994-08-18,2001-08-18
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10782,Kish,Perna,Staff,1997-07-06,2002-03-30
10803,Katsuyuki,Velasco,Engineer,1988-04-20,1997-04-20
10814,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01
10826,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10858,Kenroku,Gonthier,Engineer,1997-01-01,2002-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10871,Aram,Gilg,Staff,1999-06-16,9999-01-01
10872,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01
10873,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10906,Munehiro,Carrere,Staff,1998-10-18,9999-01-01
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26
10913,Narain,Thummel,Staff,1998-10-25,9999-01-01
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01
10944,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01
10948,Shigehito,Brodie,Senior Engineer,1996-09-30,1997-06-23
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01
10985,Chiradeep,Furedi,Engineer,1999-02-11,1999-03-10
10987,Flemming,Baezner,Engineer,1997-05-21,9999-01-01
11002,Bluma,Ulupinar,Senior Staff,1998-11-21,2001-12-07
11028,Miyeon,Krider,Engineer,1986-06-18,1991-06-18
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26
11064,Shawna,Vieri,Assistant Engineer,1990-02-28,1996-02-28
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24
11079,Piyush,Garigliano,Engineer,1994-05-26,2001-05-26
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01
11091,Souichi,Ramsay,Engineer,1999-09-11,9999-01-01
11132,Kristin,Harnett,Engineer,1994-08-30,1999-08-30
11158,Masaki,Hagimont,Engineer,1996-04-20,2002-04-20
11170,Minghong,Cannard,Senior Engineer,1990-06-20,9999-01-01
11174,Akhilish,Milicia,Engineer,1999-06-07,9999-01-01
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10
11181,Hausi,Cullers,Engineer,1997-11-03,9999-01-01
11192,Apostol,Bahr,Engineer,1998-04-07,9999-01-01
11201,Jouko,Masaki,Staff,1995-10-31,9999-01-01
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11233,Sanjit,Waschkowski,Engineer,1991-12-14,1998-12-14
11253,Koldo,Pokrovskii,Engineer,1992-05-22,2000-05-22
11300,Lillian,Fontet,Engineer,1992-09-10,1996-12-20
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07
11325,Samphel,Rossi,Engineer,1999-01-10,9999-01-01
11326,Munenori,Plesums,Engineer,1990-02-19,1999-02-19
11340,Aris,Bala,Engineer,1991-09-11,1998-09-11
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01
11401,Huan,Merey,Staff,1995-04-15,9999-01-01
11414,Eishiro,Pearson,Senior Staff,1996-01-03,1997-10-06
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20
11521,Eldridge,Eastman,Staff,1995-10-17,2000-06-08
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01
11531,Radhika,Motley,Technique Leader,1992-11-04,9999-01-01
11573,Pranas,Hutton,Engineer,1990-02-04,1995-02-04
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11596,Yannik,Gunderson,Staff,1995-11-23,9999-01-01
11606,Perry,Pepe,Senior Staff,1999-09-27,9999-01-01
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23
11644,Sanjit,Zaiane,Assistant Engineer,1995-08-09,9999-01-01
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28
11686,Nadjib,Srimani,Senior Staff,2000-04-20,2000-07-22
11693,Hideo,Coorg,Senior Engineer,1991-08-24,9999-01-01
11713,Danel,Heusch,Engineer,1994-10-04,2000-10-03
11737,Martina,Garnier,Assistant Engineer,1995-07-11,9999-01-01
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01
11779,Shunichi,Thombley,Staff,1996-11-21,9999-01-01
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11829,Chaosheng,Pettis,Assistant Engineer,1999-10-11,9999-01-01
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01
11836,Ortrud,Bakhtari,Senior Staff,1989-07-28,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01
11881,Arra,Staelin,Senior Staff,1995-04-08,9999-01-01
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28
11888,Badri,Azulay,Senior Staff,1999-11-28,9999-01-01
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,9999-01-01
11911,Ashish,Mondadori,Engineer,1990-06-05,1995-06-05
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,9999-01-01
11944,Along,Aumann,Senior Engineer,1994-12-01,9999-01-01
